Album_url,AoTY,A.V.,AMG,CoS,DIY,DiS,OMH,NME,NoRip,Paste,P4K,PM,PMA,RS,Spin,405,TLOBF,Skinny,TMT,Radar,Artist,Profile_url,Album,ReleaseDate,Label,Genre,Artist_url,SD
http://albumoftheyear.org/album/10891-actress-ghettoville.php,73,,,58,,90,80,80,60,,67,70,91,,80,,85,60,,80,Actress,http://albumoftheyear.org/artist/1299-actress/,Ghettoville,2014-01-28,Werkdiscs/Ninja Tune,IDM,,11.6189500386223
http://albumoftheyear.org/album/16609-alt-j-this-is-all-yours.php,68,,80,67,80,70,70,80,,79,40,70,58,80,,80,55,60,,85,Alt-J,http://albumoftheyear.org/artist/2407-alt-j/,This Is All Yours,2014-09-22,Infectious,Art Pop,http://altjband.com,11.8071810272191
http://albumoftheyear.org/album/11134-angel-olsen-burn-your-fire-for-no-witness.php,82,83,80,91,80,80,70,90,,93,83,80,75,60,70,90,85,80,80,80,Angel Olsen,http://albumoftheyear.org/artist/2547-angel-olsen/,Burn Your Fire for No Witness,2014-02-18,Jagjaguwar,Singer-Songwriter,http://angelolsen.com,8.23907476244611
http://albumoftheyear.org/album/19290-aphex-twin-syro.php,87,91,80,83,80,100,80,90,90,95,87,80,91,80,,90,90,,80,60,Aphex Twin,http://albumoftheyear.org/artist/2513-aphex-twin/,Syro,2014-09-23,Warp,Electronic,,6.17216236300489
http://albumoftheyear.org/album/20178-ariel-pink-pom-pom.php,76,83,70,75,40,80,,80,80,69,88,80,75,,80,,65,80,60,,Ariel Pink,http://albumoftheyear.org/artist/5565-ariel-pink/,pom pom,2014-11-18,4AD,Psychedelic Pop,,11.4671632644405
http://albumoftheyear.org/album/13536-avey-tares-slasher-flicks-enter-the-slasher-house.php,69,,70,58,80,60,60,70,,79,73,60,67,70,70,75,80,40,,65,Avey Tare's Slasher Flicks,http://albumoftheyear.org/artist/5805-avey-tares-slasher-flicks/,Enter the Slasher House,2014-04-08,Domino,Psychedelic Pop,,10.2434938700946
http://albumoftheyear.org/album/16138-basement-jaxx-junto.php,65,50,80,67,40,70,70,70,,84,65,70,,70,,60,50,,,75,Basement Jaxx,http://albumoftheyear.org/artist/622-basement-jaxx/,Junto,2014-08-25,Atlantic Jaxx / PIAS,Electronic,,11.8156629145338
http://albumoftheyear.org/album/12275-beck-morning-phase.php,77,83,70,83,80,80,90,80,80,80,68,60,91,90,80,80,70,,30,90,Beck,http://albumoftheyear.org/artist/32-beck/,Morning Phase,2014-02-25,Capitol,Singer-Songwriter,http://www.beck.com,14.0065344227595
http://albumoftheyear.org/album/11896-black-lips-underneath-the-rainbow.php,67,75,50,67,60,50,70,80,,70,63,60,,70,,,75,,,75,Black Lips,http://albumoftheyear.org/artist/41-black-lips/,Underneath The Rainbow,2014-03-18,VICE,Garage Rock,,9.13292157035504
http://albumoftheyear.org/album/11969-bombay-bicycle-club-so-long-see-you-tomorrow.php,75,,90,50,80,70,80,70,,,77,60,58,,,80,80,,,75,Bombay Bicycle Club,http://albumoftheyear.org/artist/914-bombay-bicycle-club/,So Long See You Tomorrow,2014-02-03,Island / Vagrant,Indie Pop,http://bombaybicycleclubmusic.com,11.4534631523316
http://albumoftheyear.org/album/11947-broken-bells-after-the-disco.php,67,58,70,33,,50,70,80,60,78,54,70,75,70,80,80,70,80,,60,Broken Bells,http://albumoftheyear.org/artist/807-broken-bells/,After the Disco,2014-02-04,Columbia,Indie Pop,,12.8643945469199
http://albumoftheyear.org/album/11375-bruce-springsteen-high-hopes.php,59,58,70,25,,80,80,80,50,39,40,60,,90,50,,60,60,60,60,Bruce Springsteen,http://albumoftheyear.org/artist/55-bruce-springsteen/,High Hopes,2014-01-14,Columbia,Rock,http://brucespringsteen.net,17.2644866706195
http://albumoftheyear.org/album/16511-caribou-our-love.php,80,,80,83,80,80,90,90,,73,86,80,67,70,,80,90,60,,60,Caribou,http://albumoftheyear.org/artist/490-caribou/,Our Love,2014-10-07,Merge,Deep House,http://www.caribou.fm,8.68057492061332
http://albumoftheyear.org/album/14396-chromeo-white-women.php,70,,70,67,80,70,,30,,85,76,70,75,70,70,,75,,,,Chromeo,http://albumoftheyear.org/artist/956-chromeo/,White Women,2014-05-12,Last Gang,Electropop,http://chromeo.net,12.9733454554981
http://albumoftheyear.org/album/13207-cloud-nothings-here-and-nowhere-else.php,81,75,80,100,80,80,80,50,90,89,87,80,75,70,80,90,85,80,,70,Cloud Nothings,http://albumoftheyear.org/artist/1581-cloud-nothings/,Here and Nowhere Else,2014-04-01,Carpark / Mom + Pop,Indie Rock,http://cloudnothings.com,10.2841969002131
http://albumoftheyear.org/album/14112-coldplay-ghost-stories.php,60,67,80,58,60,60,60,70,70,75,44,30,50,70,70,,75,,,,Coldplay,http://albumoftheyear.org/artist/62-coldplay/,Ghost Stories,2014-05-19,Parlophone/Atlantic,Pop Rock,http://www.coldplay.com,12.8164932801449
http://albumoftheyear.org/album/13567-conor-oberst-upside-down-mountain.php,72,75,80,75,60,80,,80,,89,65,60,43,80,70,75,85,,,60,Conor Oberst,http://albumoftheyear.org/artist/65-conor-oberst/,Upside Down Mountain,2014-05-20,Nonesuch,Singer-Songwriter,http://www.conoroberst.com,11.7034793361388
http://albumoftheyear.org/album/12357-damien-jurado-brothers-and-sisters-of-the-eternal-son.php,75,,80,67,,60,80,70,60,86,76,80,58,,,80,70,100,,70,Damien Jurado,http://albumoftheyear.org/artist/1231-damien-jurado/,Brothers and Sisters of the Eternal Son,2014-01-21,Secretly Canadian,Folk,http://damienjurado.com,11.4200517694791
http://albumoftheyear.org/album/12956-damon-albarn-everyday-robots.php,75,50,80,75,80,70,90,80,80,75,70,80,50,80,80,,85,80,,80,Damon Albarn,http://albumoftheyear.org/artist/2369-damon-albarn/,Everyday Robots,2014-04-28,Warner,Downtempo,http://damonalbarnmusic.com,10.6757008311068
http://albumoftheyear.org/album/16645-death-from-above-1979-the-physical-world.php,77,75,80,58,80,70,90,90,80,,70,80,75,60,,85,70,100,,70,Death From Above 1979,http://albumoftheyear.org/artist/1545-death-from-above-1979/,The Physical World,2014-09-09,Last Gang / Warner Bros.,Dance Punk,http://www.deathfromabove1979.com,10.8566415924385
http://albumoftheyear.org/album/19254-deerhoof-la-isla-bonita.php,75,91,80,50,80,60,70,70,,74,76,80,,60,,80,85,80,50,75,Deerhoof,http://albumoftheyear.org/artist/521-deerhoof/,La Isla Bonita,2014-11-04,Polyvinyl,Indie Rock,http://deerhoof.net,11.9385579810405
http://albumoftheyear.org/album/10824-dum-dum-girls-too-true.php,67,83,80,75,60,50,60,70,40,75,74,70,83,70,70,65,55,60,30,70,Dum Dum Girls,http://albumoftheyear.org/artist/927-dum-dum-girls/,Too True,2014-01-28,Sub Pop,Indie Pop,http://www.wearedumdumgirls.com,13.9598421546397
http://albumoftheyear.org/album/14003-eagulls-eagulls.php,74,83,80,58,80,90,70,80,80,,74,30,75,70,,80,80,,,65,Eagulls,http://albumoftheyear.org/artist/3626-eagulls/,Eagulls,2014-03-03,Partisan,Garage Punk,http://eagulls.co.uk,14.0803814883384
http://albumoftheyear.org/album/13035-ema-the-futures-void.php,80,75,80,75,80,80,80,80,,,74,80,58,80,80,90,85,100,80,85,EMA,http://albumoftheyear.org/artist/1702-ema/,The Future's Void,2014-04-08,Matador / City Slang,Indie Rock,,8.27069596616306
