Album_url,AoTY,A.V.,AMG,CoS,DIY,DiS,OMH,NME,NoRip,Paste,P4K,PM,PMA,RS,Spin,405,TLOBF,Skinny,TMT,Radar,Artist,Profile_url,Album,ReleaseDate,Label,Genre,Cover,SD
http://albumoftheyear.org/album/23406-a-place-to-bury-strangers-transfixiation.php,64,75,80,43,40,80,60,60,,68,55,50,50,,70,65,75,60,50,60,A Place To Bury Strangers,http://albumoftheyear.org/artist/553-a-place-to-bury-strangers/,Transfixiation,2015-02-17,Dead Oceans,Noise Rock,http://cdn.albumoftheyear.org/album/2015/23406-transfixiation.jpg,12.3294243937969
http://albumoftheyear.org/album/31484-asap-rocky-at-long-last-asap.php,75,75,80,75,60,,,80,,,78,50,50,70,70,80,80,,60,,A$AP Rocky,http://albumoftheyear.org/artist/2003-asap-rocky/,At.Long.Last.A$AP,2015-05-26,ASAP Worldwide / RCA,Hip Hop,http://cdn.albumoftheyear.org/album/2015/31484-at-long-last-asap.jpg,10.8781967639478
http://albumoftheyear.org/album/27645-alabama-shakes-sound-color.php,78,67,80,75,80,70,80,80,,84,81,90,75,70,70,80,75,,,65,Alabama Shakes,http://albumoftheyear.org/artist/2222-alabama-shakes/,Sound & Color,2015-04-21,ATO / Rough Trade,Southern Rock,http://cdn.albumoftheyear.org/album/2014/27645-sound-color.jpg,5.99131315600623
http://albumoftheyear.org/album/23756-badbadnotgood-ghostface-killah-sour-soul.php,72,,70,67,,90,70,,,80,62,60,,,,,60,80,80,75,BADBADNOTGOOD & Ghostface Killah,http://albumoftheyear.org/artist/9717-badbadnotgood-ghostface-killah/,Sour Soul,2015-02-17,Lex,Hip Hop,http://cdn.albumoftheyear.org/album/2015/23756-sour-soul.jpg,9.67940644310947
http://albumoftheyear.org/album/36800-battles-la-di-da-di.php,68,,80,67,80,70,80,60,50,83,75,70,,,70,60,55,60,70,60,Battles,http://albumoftheyear.org/artist/476-battles/,La Di Da Di,2015-09-18,Warp,Experimental Rock,http://cdn.albumoftheyear.org/album/2015/36800-la-di-da-di.jpg,9.66695401871758
http://albumoftheyear.org/album/33751-beach-house-depression-cherry.php,78,91,80,58,60,90,70,50,,77,84,60,75,70,80,85,85,80,,75,Beach House,http://albumoftheyear.org/artist/30-beach-house/,Depression Cherry,2015-08-28,Sub Pop,Dream Pop,http://cdn.albumoftheyear.org/album/2015/33751-depression-cherry.jpg,11.8947591029683
http://albumoftheyear.org/album/21055-belle-sebastian-girls-in-peacetime-want-to-dance.php,74,83,80,58,60,80,80,70,70,68,66,70,75,60,70,85,80,80,70,65,Belle & Sebastian,http://albumoftheyear.org/artist/512-belle-sebastian/,Girls In Peacetime Want To Dance,2015-01-20,Matador,Indie Pop,http://cdn.albumoftheyear.org/album/2015/21055-girls-in-peacetime-want-to-dance.jpg,8.07131952225963
http://albumoftheyear.org/album/28106-best-coast-california-nights.php,71,75,80,67,80,50,,70,50,74,64,70,67,70,80,70,75,,,,Best Coast,http://albumoftheyear.org/artist/1065-best-coast/,California Nights,2015-05-05,Harvest,Indie Pop,http://cdn.albumoftheyear.org/album/2015/28106-california-nights.jpg,9.01087306165908
http://albumoftheyear.org/album/26282-bjork-vulnicura.php,85,83,90,91,80,80,90,80,,86,86,80,91,80,80,100,95,,100,85,Björk,http://albumoftheyear.org/artist/670-bjork/,Vulnicura,2015-01-20,One Little Indian,Art Pop,http://cdn.albumoftheyear.org/album/2015/26282-vulnicura.jpg,6.92714184333243
http://albumoftheyear.org/album/28156-blur-magic-whip.php,77,67,80,58,80,80,80,80,70,81,70,70,83,80,80,,90,60,,65,Blur,http://albumoftheyear.org/artist/570-blur/,The Magic Whip,2015-04-27,Parlophone,Alternative Rock,http://cdn.albumoftheyear.org/album/2015/28156-magic-whip-1.jpg,8.47747881500293
http://albumoftheyear.org/album/28446-brandon-flowers-the-desired-effect.php,69,,80,58,80,80,70,70,,,56,,75,70,70,,80,,,60,Brandon Flowers,http://albumoftheyear.org/artist/1334-brandon-flowers/,The Desired Effect,2015-05-18,Island Vertigo,Synthpop,http://cdn.albumoftheyear.org/album/2015/28446-the-desired-effect.jpg,8.19645156038991
http://albumoftheyear.org/album/34611-carly-rae-jepsen-emotion.php,76,83,80,83,,90,80,70,,,74,60,91,70,70,,75,,,40,Carly Rae Jepsen,http://albumoftheyear.org/artist/2885-carly-rae-jepsen/,E•MO•TION,2015-08-21,Schoolboy Interscope,Dance Pop,http://cdn.albumoftheyear.org/album/2015/34611-emotion.jpg,8.68390789968758
http://albumoftheyear.org/album/32199-chelsea-wolfe-abyss.php,76,67,80,75,,80,80,,70,,81,70,,70,70,85,70,80,90,75,Chelsea Wolfe,http://albumoftheyear.org/artist/2669-chelsea-wolfe/,Abyss,2015-08-07,Sargent House,Gothic Rock,http://cdn.albumoftheyear.org/album/2015/32199-abyss.jpg,6.69185716979617
http://albumoftheyear.org/album/36804-chvrches-every-open-eye.php,79,100,80,50,100,60,80,80,,85,77,70,67,70,70,80,75,80,,80,CHVRCHES,http://albumoftheyear.org/artist/3392-chvrches/,Every Open Eye,2015-09-25,Universal,Synthpop,http://cdn.albumoftheyear.org/album/2015/36804-every-open-eye.jpg,12.3437290580612
