rank_12,rank_11,institution,country,size,focus,research,age,status,academic_reputation_score_12,academic_reputation_rank_12,employer_reputation_score_12,employer_reputation_rank_12,faculty_student_score__12,faculty_student_rank_12,citations_per_faculty_score_12,citations_per_faculty_rank_12,intl_faculty_score_12,intl_faculty_rank,intl_students_score_12,intl_students_rank_12,overall_score_12
1,3,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),US,M,CO,VH,5,B,100,6,100,5,99.9,19,99.3,15,86.4,108,96.5,37,100
2,1,UNIVERSITY OF CAMBRIDGE,GB,L,FC,VH,5,A,100,2,100,3,98.3,37,97,29,98.2,41,96,42,99.78
3,2,HARVARD UNIVERSITY,US,L,FC,VH,5,B,100,1,100,1,98.6,31,100,5,90,90,78.4,111,99.15
4,7,UCL (UNIVERSITY COLLEGE LONDON),GB,L,FC,VH,5,A,99.6,22,95.6,32,98.4,36,94,37,96.3,50,99.9,10,98.69
5,5,UNIVERSITY OF OXFORD,GB,L,FC,VH,5,A,100,4,100,2,100,17,89.4,50,98,43,95.8,44,98.57
6,6,IMPERIAL COLLEGE LONDON,GB,L,FC,VH,5,A,99.8,15,100,7,99.8,21,87.3,55,99.8,28,99.6,18,98.31
7,4,YALE UNIVERSITY,US,M,FC,VH,5,B,100,10,100,11,100,6,93.3,39,92.7,72,63.9,177,97.48
8,8,UNIVERSITY OF CHICAGO,US,L,FC,VH,5,B,99.9,13,96,28,95.6,52,96.4,33,68.9,175,77.8,116,96.27
9,13,PRINCETON UNIVERSITY,US,M,CO,VH,5,B,100,11,88.5,42,90.7,68,99.8,9,85.5,115,63.5,179,95.37
10,12,CALIFORNIA INSTITUTE OF TECHNOLOGY (CALTECH),US,S,CO,VH,5,B,99,28,51.3,191,100,14,100,2,96,53,91.1,61,95.05
11,10,COLUMBIA UNIVERSITY,US,L,FC,VH,5,B,99.9,12,100,12,97.2,45,96.3,34,16.2,301,84.9,85,94.68
12,9,UNIVERSITY OF PENNSYLVANIA,US,L,FC,VH,5,B,98.5,32,96.2,26,99.6,26,92.4,41,55.7,213,66.8,164,94.5
13,18,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),CH,L,FO,VH,5,A,99.3,25,94,36,67,154,97.2,28,100,6,98.7,23,92.84
14,15,CORNELL UNIVERSITY,US,L,FC,VH,5,B,99.7,20,96.4,24,73.9,123,98.8,19,74.3,154,67.4,162,92.08
15,11,STANFORD UNIVERSITY,US,L,FC,VH,5,A,100,5,100,6,72.4,134,100,3,41.9,264,83.5,90,91.68
16,16,JOHNS HOPKINS UNIVERSITY,US,L,FC,VH,5,B,94.6,45,60.2,164,100,10,99.1,17,56.8,203,74.7,128,91.18
17,14,UNIVERSITY OF MICHIGAN,US,XL,FC,VH,5,A,99.8,17,96.1,27,92,63,87.3,54,50.6,234,46.5,258,91.17
18,17,MCGILL UNIVERSITY,CA,L,FC,VH,5,A,98.5,33,95.1,33,89.6,71,69.1,114,86,112,91.3,60,90.43
19,23,UNIVERSITY OF TORONTO,CA,XL,FC,VH,5,A,99.9,14,94.3,35,73.8,124,80.2,70,96.1,51,74.8,127,89.64
20,19,DUKE UNIVERSITY,US,L,FC,VH,5,B,95.1,43,81.9,61,99.7,23,96.9,30,16.4,301,44.5,269,89.5
21,20,UNIVERSITY OF EDINBURGH,GB,L,FC,VH,5,A,99.1,27,96.8,19,72.1,136,77.1,79,89.6,94,93.8,50,89.24
22,21,UNIVERSITY OF CALIFORNIA BERKELEY (UCB),US,XL,FC,VH,5,A,100,3,100,8,47,279,97.9,22,86.1,109,78.8,108,88.12
23,22,UNIVERSITY OF HONG KONG (HKU),HK,L,FC,VH,5,A,99.3,24,83.8,49,94.2,54,50.5,215,100,18,99.1,21,87.89
24,26,AUSTRALIAN NATIONAL UNIVERSITY (ANU),AU,L,CO,VH,4,A,99.7,21,82.5,56,79.6,109,64.3,134,100,25,96.3,39,87.61
25,28,NATIONAL UNIVERSITY OF SINGAPORE (NUS),SG,XL,FC,VH,5,A,100,9,99.4,14,81.4,102,51.1,212,100,13,98.2,24,87.24
26,27,KING'S COLLEGE LONDON (KCL),GB,L,FC,VH,5,A,92.6,51,83.8,48,89.1,78,68.9,116,93.8,66,90.6,65,87.12
27,24,NORTHWESTERN UNIVERSITY,US,L,FC,VH,5,B,90.7,58,88.6,39,82.3,100,97.9,21,11.9,301,55.9,202,85.44
28,30,UNIVERSITY OF BRISTOL,GB,L,FC,VH,5,A,91,56,96,30,74.8,122,77.3,78,85.8,114,75.6,122,85.36
29,35,ECOLE POLYTECHNIQUE FÉDÉRALE DE LAUSANNE (EPFL),CH,M,FO,VH,5,A,79.1,86,75.8,82,95.1,53,79.9,71,100,5,100,6,85.08
30,25,THE UNIVERSITY OF TOKYO,JP,L,FC,VH,5,A,100,7,97.6,18,89.3,74,73.1,99,11.1,301,25.8,301,84.95
31,34,UNIVERSITY OF CALIFORNIA LOS ANGELES (UCLA),US,XL,FC,VH,4,A,100,8,96,29,62.3,173,99.5,11,1.6,301,34.4,301,84.62
32,29,THE UNIVERSITY OF MANCHESTER,GB,XL,FC,VH,5,A,98.5,31,100,10,63.2,170,62.2,142,85.2,117,91.4,58,84.16
33,40,THE HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY (HKUST),HK,M,CO,VH,2,A,92.5,52,79.7,67,83.9,93,54.7,192,100,12,98.9,22,83.48
34,33,ECOLE NORMALE SUPÉRIEURE PARIS (ENS PARIS),FR,S,SP,,5,B,90.8,57,66.9,127,92.4,61,81.6,63,26.2,301,66.2,166,83.28
35,32,KYOTO UNIVERSITY,JP,L,FC,VH,5,A,99.8,18,81.1,63,92.6,60,70,110,15.5,301,21.9,301,83.27
36,31,THE UNIVERSITY OF MELBOURNE,AU,XL,FC,VH,5,A,99.8,16,100,9,46.8,282,74.9,92,68.9,176,92.3,56,83.16
37,42,SEOUL NATIONAL UNIVERSITY (SNU),KR,L,FC,VH,4,A,98.8,29,83.4,50,90.7,67,49.6,222,47.8,245,61,187,82.19
38,41,UNIVERSITY OF WISCONSIN-MADISON,US,XL,FC,VH,5,A,97.1,39,68.6,120,85.2,89,68,120,52.4,227,32.9,301,81.43
39,38,THE UNIVERSITY OF SYDNEY,AU,XL,FC,VH,5,A,99.3,23,93.5,37,50.4,248,58.9,162,99.7,29,91.3,59,81.31
40,37,THE CHINESE UNIVERSITY OF HONG KONG (CUHK),HK,L,FC,VH,3,A,93.5,48,72.4,95,79.8,108,48.7,225,95.7,54,83.1,92,80.09
41,36,ECOLE POLYTECHNIQUE PARISTECH,FR,S,CO,VH,5,A,73.3,113,95.9,31,100,13,57.9,170,72.4,161,92.6,53,79.55
42,39,BROWN UNIVERSITY,US,M,FC,VH,5,B,81.5,76,68.8,118,76.7,117,97.8,23,32,301,54.7,207,79.52
43,44,NEW YORK UNIVERSITY (NYU),US,XL,FC,VH,5,B,97.7,35,85.3,45,92.7,57,40.2,280,23.2,301,55.7,204,78.94
44,46,PEKING UNIVERSITY,CN,L,FC,VH,5,A,99.7,19,96.6,21,82.6,97,36.8,301,55.7,214,35,301,78.75
45,51,UNIVERSITY OF BRITISH COLUMBIA,CA,XL,FC,VH,5,A,99.1,26,77.8,72,25.9,301,92.1,42,61.4,187,73.2,135,78.55
46,48,THE UNIVERSITY OF QUEENSLAND (UQ),AU,XL,FC,VH,5,A,95.3,42,83.3,51,45.3,296,63.1,138,95.5,55,90.5,67,78.22
47,58,NANYANG TECHNOLOGICAL UNIVERSITY (NTU),SG,L,CO,VH,2,A,90.4,59,84.5,47,85.3,88,26.7,301,100,7,97.9,29,77.69
48,47,TSINGHUA UNIVERSITY,CN,XL,FC,VH,5,A,98.8,30,97.6,17,86,86,32,301,50.6,235,26.3,301,77.51
49,43,CARNEGIE MELLON UNIVERSITY,US,M,FC,VH,5,B,86,67,81,65,55.4,212,86.5,56,17.7,301,97.1,36,77.41
50,45,OSAKA UNIVERSITY,JP,L,FC,VH,4,A,91.4,54,69.6,111,91.7,64,62.1,143,15.4,301,20.3,301,76.84
51,52,UNIVERSITY OF COPENHAGEN,DK,L,FC,VH,5,A,83.5,73,71.5,100,99.8,20,48.6,226,71.8,163,41.3,281,76.66
52,49,THE UNIVERSITY OF NEW SOUTH WALES (UNSW),AU,XL,FC,VH,4,A,95,44,95.1,34,39.8,301,52.8,204,98.8,35,97.6,30,76.63
53,54,TECHNISCHE UNIVERSITÄT MÜNCHEN,DE,L,CO,VH,5,A,86.4,66,91,38,97.9,40,34.3,301,48.1,244,63,182,76.43
54,59,UNIVERSITY OF GLASGOW,GB,L,FC,VH,5,A,82.4,75,70.7,105,60.3,182,78.3,75,78.5,141,76.7,119,76.28
